Name;Category;Sub-Category;Identifier;Description;Scale;Unit;Metrics;Single;
business: costs: execution: other;action;business;business/costs/execution/other;Execution costs of the action-tool which do not fit to any other given setup costs.;Positive Number;Euro/year;;Y;
business: costs: execution: run Hardware;action;business;business/costs/execution/hardwareRunning;Running hardware costs arising when using the action-tool (e.g. server rental costs).;Positive Number;Euro/year;;Y;
business: costs: execution: software develop new features;action;business;business/costs/execution/softwareDevelopNewFeatures;Costs for developing new features which were not available in the software before.;Positive Number;Euro;;Y;
business: costs: execution: software licence running;action;business;business/costs/execution/softwareLicenceRunning;Running software licence costs of action-tool.;Positive Number;Euro/year;;Y;
business: costs: execution: staff running;action;business;business/costs/execution/staffRunning;Running staff costs for operate the action-tool.;Positive Number;Euro/year;;Y;
business: costs: execution: total;action;business;business/costs/execution/total;Total sum of costs needed to execute the action-tool.;Positive Number;Euro/year;;Y;
business: costs: setup: initial hardware;action;business;business/costs/setup/hardwareInitial;Initial hardware costs arising when using the action-tool (e.g. new hardware needs to be acquired to get the tool running).;Positive Number;Euro;;Y;
business: costs: setup: other;action;business;business/costs/setup/other;Setup costs of the action-tool which do not fit to any other given setup costs.;Positive Number;Euro;;Y;
business: costs: setup: software customization;action;business;business/costs/setup/softwareCustomization;Costs for customizing the software to user needs (e.g. company-branding, performance-settings, etc.);Positive Number;Euro;;Y;
business: costs: setup: software integration;action;business;business/costs/setup/softwareIntegration;Costs for integrating the software (get it running) in the current environment.;Positive Number;Euro;;Y;
business: costs: setup: software licence inital;action;business;business/costs/setup/softwareLicenceInitial;Initial software licence costs of action-tool.;Positive Number;Euro;;Y;
business: costs: setup: staff external expertise needed;action;business;business/costs/setup/staffExternalExpertiseNeeded;Cost for required external expertise.;Positive Number;Euro;;Y;
business: costs: setup: staff training;action;business;business/costs/setup/staffTraining;Costs for training staff in using the action-tool.;Positive Number;Euro;;Y;
business: costs: setup: total;action;business;business/costs/setup/total;Total sum of costs needed to setup the action-tool.;Positive Number;Euro;;Y;
business: costs: total;action;business;business/costs/total;Total sum of all costs arising when using the action-tool.;Positive Number;Euro;;Y;
business: licencing schema;action;business;business/licencingSchema;Licence applying to the action-tool.;Ordinal: openSource/closedSource;;;Y;
interoperability: .Net API;action;compatibility;compatibility/interoperability/interfaces/API/.Net;Indicates whether it is possible to interact with the action-tool via a .net Application Programming Interface.;Boolean;;;Y;
interoperability: batch processing support;action;compatibility;compatibility/interoperability/interfaces/batchProcessingSupport;Indicates whether the action-tool supports batch processing.;Boolean;;;Y;
interoperability: directory watch;action;compatibility;compatibility/interoperability/interfaces/directoryWatch;Indicates whether the action-tool supports input via directory watch. Directory watch polls specified directories for new Files. If new Files are detected they are processed.;Boolean;;;Y;
interoperability: java API;action;compatibility;compatibility/interoperability/interfaces/API/java;Indicates whether it is possible to interact with the action-tool via a Java Application Programming Interface.;Boolean;;;Y;
interoperability: other API;action;compatibility;compatibility/interoperability/interfaces/API/other;Indicates whether it is possible to interact with the action-tool via any other Application Programming Interface.;Boolean;;;Y;
functional suitability: activity logging amount;action;functional suitability;functionalSuitability/functionalCompleteness/generic/activityLoggingAmount;The amount of logging output produced by a component, measured in the length of characters.;Positive Integer;Characters;;;
functional suitability: activity logging format;action;functional suitability;functionalSuitability/functionalCompleteness/generic/activityLoggingFormat;The format of logging output produced by a component.;Ordinal: text/xml/database/none;;;Y;
functional suitability: activity traceability;action;functional suitability;functionalSuitability/functionalCompleteness/generic/activityTraceability;Indicates to which degree the activities performed by the action-tool are traceable.;Ordinal: good/acceptable/poor/no;;;Y;
functional suitability: document: handling of not allowed image compressions;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/document/handlingOfNotAllowedImageCompressions;Method the action-tool handles an image compressis which is not permitted in the outcome.;Ordinal: convert to still image/remove/leave unchanged;;;;
functional suitability: document: handling of not allowed image formats;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/document/handlingOfNotAllowedImageFormats;Method the action-tool handles a image format which is not permitted in the outcome.;Ordinal: convert to still image/remove/leave unchanged;;;;
